Title,Worldwide Gross,Production Budget,Release Year,Content Rating,Running Time,Genre,Creative Type,Rotten Tomatoes Rating,IMDB Rating,Profit Ratio,Decade,Budget Tier
From Dusk Till Dawn,25728961,20000000,1996,R,107,Horror,Fantasy,63,7.1,1.28644805,1990,Low
Broken Arrow,148345997,65000000,1996,R,108,Action,Contemporary Fiction,55,5.8,2.2822461076923077,1990,Medium
City Hall,20278055,40000000,1996,R,111,Drama,Contemporary Fiction,55,6.1,0.506951375,1990,Low
Happy Gilmore,38623460,10000000,1996,PG-13,92,Comedy,Contemporary Fiction,58,6.9,3.862346,1990,Low
Fargo,51204567,7000000,1996,R,87,Thriller,Contemporary Fiction,94,8.3,7.314938142857143,1990,Low
The Craft,55669466,15000000,1996,R,100,Thriller,Fantasy,45,5.9,3.7112977333333332,1990,Low
Twister,495900000,88000000,1996,PG-13,117,Action,Contemporary Fiction,57,6.0,5.635227272727272,1990,Medium
Dragonheart,104364680,57000000,1996,PG-13,108,Adventure,Fantasy,50,6.2,1.830959298245614,1990,Medium
The Phantom,17220599,45000000,1996,PG,100,Action,Super Hero,43,4.8,0.3826799777777778,1990,Low
The Rock,336069511,75000000,1996,R,136,Action,Contemporary Fiction,66,7.2,4.480926813333333,1990,Medium
The Cable Guy,102825796,47000000,1996,PG-13,95,Comedy,Contemporary Fiction,52,5.8,2.187782893617021,1990,Low
Eraser,234400000,100000000,1996,R,115,Action,Contemporary Fiction,34,5.9,2.344,1990,Medium
The Hunchback of Notre Dame,325500000,100000000,1996,G,86,Adventure,Historical Fiction,73,6.5,3.255,1990,Medium
The Nutty Professor,273814019,55000000,1996,PG-13,95,Comedy,Kids Fiction,67,5.6,4.978436709090909,1990,Medium
Striptease,32773011,50000000,1996,R,115,Comedy,Contemporary Fiction,12,3.9,0.65546022,1990,Low
Independence Day,817400878,75000000,1996,PG-13,145,Adventure,Science Fiction,61,6.5,10.898678373333333,1990,Medium
Phenomenon,142836382,32000000,1996,PG,124,Drama,Contemporary Fiction,50,6.3,4.4636369375,1990,Low
Courage Under Fire,100833145,46000000,1996,R,115,Drama,Historical Fiction,85,6.6,2.1920248913043476,1990,Low
Multiplicity,20133326,45000000,1996,PG-13,117,Comedy,Science Fiction,44,5.7,0.44740724444444446,1990,Low
Trainspotting,24000785,3100000,1996,R,94,Drama,Contemporary Fiction,89,8.2,7.74218870967742,1990,Low
A Time to Kill,152266007,40000000,1996,R,150,Drama,Contemporary Fiction,68,7.1,3.806650175,1990,Low
Kingpin,32223424,25000000,1996,R,113,Comedy,Contemporary Fiction,51,6.7,1.28893696,1990,Low
The Adventures of Pinocchio,36682170,25000000,1996,G,94,Adventure,Fantasy,27,5.3,1.4672868,1990,Low
Chain Reaction,60209334,55000000,1996,PG-13,106,Action,Contemporary Fiction,13,5.2,1.0947151636363637,1990,Medium
Escape from L.A.,25426861,50000000,1996,R,101,Action,Science Fiction,56,5.3,0.50853722,1990,Low
Jack,58617334,45000000,1996,PG-13,113,Drama,Contemporary Fiction,17,5.3,1.3026074222222221,1990,Low
Tin Cup,75854588,45000000,1996,R,105,Romantic Comedy,Contemporary Fiction,69,6.1,1.6856575111111112,1990,Low
The Fan,18582965,55000000,1996,R,117,Thriller,Contemporary Fiction,40,5.6,0.3378720909090909,1990,Medium
The Island of Dr. Moreau,27682712,40000000,1996,PG-13,95,Adventure,Science Fiction,23,4.1,0.6920678,1990,Low
The First Wives Club,181489203,30000000,1996,PG,90,Comedy,Contemporary Fiction,41,5.6,6.0496401,1990,Low
